Competitior Name,Country of Origin,Age,Stage,Composer,Piece,Ranking,Cliburn Yr
Stanislav Ioudenitch,Uzbekistan,29,Semifinal Recital,Schubert,Moments musicaux D.780,1st,11th
Amir Katz,Israel,28,Semifinal Recital,Schubert,Sonata in B-flat Major D.960,Preliminary,11th
Olga Kern,Russia,26,Semifinal Recital,Schubert,Impromptu in F Minor Op.142 No.1,1st,11th
Olga Kern,Russia,26,Semifinal Recital,Schubert,Impromptu in B-flat Major Op.142 No.3,1st,11th
Albert Mamriev,Israel,26,Preliminary Round,Schubert,Sonata in A Minor D.537,Preliminary,11th
Maxim Manioukov,Russia,22,Semifinal Recital,Schubert,Sonata in D Major D.850,Preliminary,11th
Oxana Mikhailoff,Russia,29,Preliminary Round,Schubert,Sonata in A Minor D.784,Preliminary,11th
Masaru Okada,Japan,26,Preliminary Round,Schubert,Sonata in A Minor D.784,Semifinal,11th
Andrew Russo,United States,25,Preliminary Round,Schubert,"Fantasie in C major op.15 ""Wanderer""",Preliminary,11th
Roger Wright,United States,27,Semifinal Recital,Schubert,Sonata in D Major D.850,Preliminary,11th
Alexei Grynyuk,Ukraine,27,Preliminary Recital,Schubert,Impromptu in B-flat Major Op.142 No.3,Preliminary,11th
Alexei Grynyuk,Ukraine,27,Preliminary Recital,Schubert,Impromptu in F Minor Op.142 No.4,Preliminary,11th
Marina Kolomiytseva,Russia,25,Preliminary Recital,Schubert,"Fantasie in C major op.15 ""Wanderer""",Preliminary,11th
Roberto Plano,Italy,26,Semifinal,Schubert,Sonata in A minor D.784,Finalist,12th
Ilya Rashkovskiy,Russia,20,Semifinal,Schubert,Impromptu in B-flat major Op.142 No.3,Preliminary,12th
Chenxin Xu,China,23,Semifinal Recital,Schubert,Sonata in C minor D. 958,Preliminary,12th
Jie Chen,China,19,Semifinal Recital,Schubert,Sonata in A Major D. 959,Semifinal,12th
Sa Chen,China,25,Final Recital,Schubert,Sonata in A Major D.664,3rd,12th
Evgeni Bozhanov,Bulgaria,25,Semifinal Recital,Schubert,Sonata in B-flat Major D. 960,Finalist,13th
Alessandro Deljavan,Italy,22,Semifinal Recital,Schubert,Sonata in D Major D. 850,Semifinal,13th
Natacha Kudritskaya,Ukraine,25,Semifinal Recital,Schubert,Sonata in C Minor D. 958,Preliminary,13th
Michail Lifits,Germany,26,Final Recital,Schubert,Impromptu in G-flat Major Op.90 No.3,Semifinal,13th
Spencer Myer,United States,30,Semifinal Recital,Schubert,Four Impromptus Op.90,Preliminary,13th
Yeol Eum Son,South Korea,23,Final Recital,Schubert,Impromptu in B-flat Major Op.142 No.3,2nd,13th
Yeol Eum Son,South Korea,23,Final Recital,Schubert,Impromptu in F Minor Op.142 No.4,2nd,13th
Vassilis Varvaresos,Greece,26,Final Recital,Schubert,Sonata in C Minor D.958,Preliminary,13th
Amy J. Yang,United States/China,25,Final Recital,Schubert,Sonata in C Minor D.958,Preliminary,13th
Zhang Zuo,China,20,Final Recital,Schubert,Sonata in A Major D.664,Preliminary,13th
Alessandro Deljavan,Italy,26,Preliminary Recital 2,Schubert,Variation on a Waltz by Diabelli D. 718,Semifinal,14th
Yury Favorin,Russia,26,Preliminary Recital 1,Schubert,Sonata in E-flat Major D.568,Preliminary,14th
Lindsay Garritson,United States,25,Preliminary Recital 1,Schubert,Klavierstück in E-flat Major D.946 No.2,Preliminary,14th
Claire Huangci,United States,23,Preliminary Recital 2,Schubert,Drei Klavierstücke D.946,Semifinal,14th
Gustavo Miranda-Bernales,Chile,22,Preliminary Recital 1,Schubert,Four Impromptus Op.142,Preliminary,14th
Yekwon Sunwoo,South Korea,24,Preliminary Recital 1,Schubert,"Fantasie in C major op.15 ""Wanderer""",Preliminary,14th
Jie Yuan,China,27,Semifinal Recital,Schubert,Four Impromptus Op.142,Preliminary,14th
Martin James Bartlett,United Kingdom,20,Preliminary Recital,Schubert,Impromptu in G-flat Major Op.90 No.3,Preliminary,15th
Sergey Belyavskiy,Russia,23,Preliminary Recital,Schubert,"Fantasie in C major op.15 ""Wanderer""",Preliminary,15th
Kenneth Broberg,United States,23,Semifinal Recital,Schubert,Four Impromptus Op.90,2nd,15th
Luigi Carroccia,Italy,25,Semifinal Recital,Schubert,Sonata in B-flat Major D.960,Preliminary,15th
Han Chen,Taiwan,25,Semifinal Recital,Schubert,"Fantasie in C major op.15 ""Wanderer""",Semifinal,15th
Rachel Cheung,Hong Kong,25,Preliminary Recital,Schubert,Drei Klavierstücke D.946,Finalist,15th
Madoka Fukami,Japan,28,Quarterfinal Recital,Schubert,Sonata in A Major D.664,Preliminary,15th
Daniel Hsu,United States,19,Semifinal Recital,Schubert,Four Impromptus Op.90,3rd,15th
Alyosha Jurinic,Croatia,28,Semifinal Recital,Schubert,Sonata in A Major D.664,Preliminary,15th
Dasol Kim,South Korea,28,Semifinal Recital,Schubert,Sonata in B-flat Major D.960,Semifinal,15th
Yekwon Sunwoo,South Korea,28,Quarterfinal Recital,Schubert,Sonata in C Minor D.958,1st,15th
Georgy Tchaidze,Russia,29,Quarterfinal Recital,Schubert,Impromptu in A-flat Major Op.142 No.2,Finalist,15th
Georgy Tchaidze,Russia,29,Quarterfinal Recital,Schubert,Impromptu in B-flat Major Op.142 No.3,Finalist,15th
Ziyu Liu,China,24,Preliminary Round,Schubert,Drei Klavierstücke D. 946,Preliminary,16th
Ziyu Liu,China,24,Semifinal Round,Schubert,Impromptu in F Minor Op.142 No.1,Preliminary,16th
Kate Liu,United States,28,Preliminary Round,Schubert,Allegretto in C Minor D. 915,Quarterfinal,16th
Elizaveta Kliuchereva,Russia,23,Semifinal Round,Schubert,Impromptu in F Minor Op.142 No.1,Preliminary,16th
Elizaveta Kliuchereva,Russia,23,Semifinal Round,Schubert,Impromptu in A-flat Major Op.142 No.2,Preliminary,16th
Sergey Tanin,Russia,26,Semifinal Round,Schubert,Sonata in C Minor D. 958,Preliminary,16th
Francesco Granata,Italy,23,Preliminary Round,Schubert,Sonata in A Minor D. 784,Preliminary,16th
Arseniy Gusev,Russia,23,Semifinal Round,Schubert,Sonata in C Minor D. 958,Preliminary,16th
William Wolfram,United States,29,Recital Program,Schubert,Impromptu in G-flat Major op.90 no.3,Preliminary,7th
Patti Wolf,United States,19,Recital Program,Schubert,"Fantasie in C major op.15 ""Wanderer""",Preliminary,7th
Susan Savage,United States,29,Recital Program,Schubert,Impromptu in B-flat major op.142 No.3,Preliminary,7th
David Buechner,United States,25,Semifinals Recital,Schubert,"Fantasie in C major op.15 ""Wanderer""",Preliminary,7th
Cristian Beldi,Romania,27,Preliminary Phase 2,Schubert,"Fantasie in C major op.15 ""Wanderer""",Preliminary,7th
Laurent Cabasso,France,27,Semifinals Recital,Schubert,Sonata in A major D.959,Preliminary,8th
Eduardus Halim,Indonesia,27,Semifinals Recital,Schubert,Impromptu in G-flat major Op.90 No.3,Preliminary,8th
Leonid Kuzmin,United States,25,Preliminary Phase 2,Schubert,"Fantasie in C major op.15 ""Wanderer""",Preliminary,8th
Veronika Reznikovskaya,USSR,23,Semifinals Recital,Schubert,Four Impromptus Op.90,Preliminary,8th
Francesco Cipolletta,Italy,23,Preliminary,Schubert,Sonata in A minor Op.143,Preliminary,9th
Alan Gampel,United States,29,Semifinal Recital,Schubert,Four Impromptus Op.90,Preliminary,9th
Jura Margulis,Germany,24,Semifinal Recital,Schubert,Impromptu in B-flat major Op.142 No.3,Preliminary,9th
Alexander Melnikov,Russia,20,Preliminary,Schubert,Sonata in A major Op.120,Semifinal,9th
Margarita Shevchenko,Russia,25,Preliminary,Schubert,Impromptu in B-flat major Op.142 No.3,Preliminary,9th
Connie Shih,Canada,19,Semifinal Recital,Schubert,Sonata in B-flat major D.960,Preliminary,9th
Sergei Tarasov,Russia,22,Preliminary,Schubert,Sonata in A major Op.120,Preliminary,9th
Mikhail Yanovitsky,United States,28,Preliminary,Schubert,Impromptu in G-flat major Op.90 No.3,Preliminary,9th
Larry Weng,United States,29,Semifinal,Schubert,Sonata No.20 D.959,Preliminary,s2016
Roman Lopatynskyi,Ukraine,23,Semifinal,Schubert,Sonata in A minor D.784,Preliminary,s2016
Tony Lee,Australia,25,Semifinal,Schubert,3 Klavierstücke D.946,Preliminary,s2016
Fantee Jones,Taiwan / United States,23,Semifinal,Schubert,Fantasie in C Major D.760 (Wanderer),Preliminary,s2016
Ayesha Gough,Australia,22,Preliminary,Schubert,Grazer Fantasie in C Major D.605a,Preliminary,s2016
Rachel Cheung,Hong Kong,25,Semifinal,Schubert,3 Klavierstücke D.946,Preliminary,s2016
Sergey Belyavsky,Russian,28,Preliminary Round,Schubert,"Fantasie in C major op.15 ""Wanderer""",,s2021
Siqian Li,Chinese,29,Final Round,Schubert,Sonata in G major D.894,,s2021
Alexander Malikov,Canada,32,Final Round,Schubert,Impromptu in G-flat Major Op.90 No.3,,s2021
Maxwell Foster,Australian,30,Final Round,Schubert,Sonata in G major D.894,,s2021
Maxwell Foster,Australian,30,Final Round,Schubert,Impromptu in C Minor Op.90 No.1,,s2021
Yangrui Cai,China,21,Semi Final Round,Schubert,Four Impromptus D.899,,s2021
Yangrui Cai,China,21,Final Round,Schubert,Sonata in A major D.664,,s2021
Dominic Chamot,Switzerland,26,Final Round,Schubert,Sonata in B-flat major D.960,,s2021
Timur Mustakimov,Russia,34,Final Round,Schubert,Sonata in A major D.959,,s2021
Yu Nitahara,Japan,31,Final Round,Schubert,Sonata in A major D.959,,s2021
Masaru Okada,Japan,26,Preliminary Round,Schubert-Liszt,Erlkönig,Semifinal,11th
Elizabeth Schumann,United States,19,Preliminary Round,Schubert-Liszt,Aufenthalt,Preliminary,11th
Elizabeth Schumann,United States,19,Preliminary Round,Schubert-Liszt,Gretchen am Spinnrade,Preliminary,11th
Elizabeth Schumann,United States,19,Preliminary Round,Schubert-Liszt,Ständchen,Preliminary,11th
Elizabeth Schumann,United States,19,Preliminary Round,Schubert-Liszt,Auf dem Wasser zu singen,Preliminary,11th
Marina Kolomiytseva,Russia,25,Preliminary Recital,Schubert-Liszt,Ihr Bild,Preliminary,11th
Lilian Akopova,Ukraine,21,Final Recital,Schubert-Liszt,Gretchen am Spinnrade,Preliminary,11th
Elizabeth Joy Roe,United States,23,Preliminary,Schubert-Liszt,Gretchen am Spinnrade,Preliminary,12th
Rem Urasin,Russia,29,Preliminary,Schubert-Liszt,Der Müller und der Bach,Preliminary,12th
Rem Urasin,Russia,29,Preliminary,Schubert-Liszt,Erlkönig,Preliminary,12th
Rem Urasin,Russia,29,Preliminary,Schubert-Liszt,Ständchen,Preliminary,12th
Rem Urasin,Russia,29,Preliminary,Schubert-Liszt,Auf dem Wasser zu Singen,Preliminary,12th
Wang Xiaohan,China,24,Preliminary,Schubert-Liszt,SoirEe de Vienne No.6,Semifinal,12th
Joyce Yang,South Korea,19,Final Recital,Schubert-Liszt,Gretchen am Spinnrade,2nd,12th
Joyce Yang,South Korea,19,Final Recital,Schubert-Liszt,Auf dem Wasser zu Singen,2nd,12th
Natacha Kudritskaya,Ukraine,25,Final Recital,Schubert-Liszt,Du bist die Ruh,Preliminary,13th
Natacha Kudritskaya,Ukraine,25,Final Recital,Schubert-Liszt,Auf dem Wasser zu singen,Preliminary,13th
Kuan-Ting Lin,Taiwan,21,Preliminary Recital 1,Schubert-Liszt,Gretchen am Spinnrade,Preliminary,14th
Yekwon Sunwoo,South Korea,28,Preliminary Recital,Schubert-Liszt,Litanei auf das Fest Aller Seelen,1st,15th
Sergey Tanin,Russia,26,Semifinal Round,Schubert-Liszt,Sei mir gegrüsst,Preliminary,16th
Vitaly Starikov,Russia,27,Semifinal Round,Schubert-Liszt,Du bist die Ruh,Preliminary,16th
Shirley Hsiao-Ni Pan,Canada,26,Preliminary,Schubert-Liszt,Der Müller und der Bach,Semifinal,9th
Lindsay Garritson,United States,29,Preliminary,Schubert-Liszt,Ständchen D.889,Preliminary,s2016
Maxwell Foster,Australian,30,Preliminary Round,Schubert-Liszt,Gretchen am Spinnrade,,s2021
Yangrui Cai,China,21,Final Round,Schubert-Liszt,Die Forelle,,s2021
Kevin Chow,Australia,25,Final Round,Schubert-Liszt,Am Tage Aller Seelen - Litanei auf das Fest Aller Seelen D.343,,s2021
Seizo Azuma,Japan,26,Semifinal Recital,Schuman,Chester: Variations for Piano,Preliminary,8th
Kathryn Brown,United States,27,Semifinals Recital,Schuman,Chester: Variations for Piano,Preliminary,8th
David Buechner,United States,29,Semifinals Recital,Schuman,Chester: Variations for Piano,Preliminary,8th
Pedro Burmester,Portugal,25,Semifinals Recital,Schuman,Chester: Variations for Piano,Semifinal,8th
Laurent Cabasso,France,27,Semifinals Recital,Schuman,Chester: Variations for Piano,Preliminary,8th
Angela Cheng,Canada,29,Semifinals Recital,Schuman,Chester: Variations for Piano,Semifinal,8th
Angela Cholakyan,United States,29,Semifinals Recital,Schuman,Chester: Variations for Piano,Preliminary,8th
JosE Carlos Cocarelli,Brazil,30,Semifinals Recital,Schuman,Chester: Variations for Piano,2nd,8th
Lora Dimitrova,Bulgaria,26,Semifinals Recital,Schuman,Chester: Variations for Piano,Preliminary,8th
Thomas Duis,West Germany,30,Semifinals Recital,Schuman,Chester: Variations for Piano,Preliminary,8th
Konstanze Eickhorst,West Germany,27,Semifinals Recital,Schuman,Chester: Variations for Piano,Preliminary,8th
Seung-Un Ha,United States,23,Semifinals Recital,Schuman,Chester: Variations for Piano,Preliminary,8th
Eduardus Halim,Indonesia,27,Semifinals Recital,Schuman,Chester: Variations for Piano,Preliminary,8th
Ivo Janssen,Holland,25,Semifinals Recital,Schuman,Chester: Variations for Piano,Preliminary,8th
Jürgen Jakob,West Germany,27,Semifinals Recital,Schuman,Chester: Variations for Piano,Preliminary,8th
Kevin Kenner,United States,26,Semifinals Recital,Schuman,Chester: Variations for Piano,Semifinal,8th
Hae-Jung Kim,United States,24,Semifinals Recital,Schuman,Chester: Variations for Piano,Preliminary,8th
Rita Kinka,Yugoslavia,27,Semifinals Recital,Schuman,Chester: Variations for Piano,Preliminary,8th
Leonid Kuzmin,United States,25,Semifinals Recital,Schuman,Chester: Variations for Piano,Preliminary,8th
Li Jian,People's Republic of China,24,Semifinals Recital,Schuman,Chester: Variations for Piano,Preliminary,8th
Lin Hai,People's Republic of China,20,Semifinals Recital,Schuman,Chester: Variations for Piano,Semifinal,8th
Benedetto Lupo,Italy,25,Semifinals Recital,Schuman,Chester: Variations for Piano,3rd,8th
Wolfgang Manz,West Germany,28,Semifinals Recital,Schuman,Chester: Variations for Piano,Preliminary,8th
Kayo Miki,Japan,29,Semifinals Recital,Schuman,Chester: Variations for Piano,Semifinal,8th
Károly Mocsári,Hungary,26,Semifinals Recital,Schuman,Chester: Variations for Piano,Preliminary,8th
Predrag Muzijevic,Yugoslavia,25,Semifinals Recital,Schuman,Chester: Variations for Piano,Preliminary,8th
John Nauman,United States,26,Semifinals Recital,Schuman,Chester: Variations for Piano,Preliminary,8th
Shari Raynor,United States,27,Semifinals Recital,Schuman,Chester: Variations for Piano,Preliminary,8th
Veronika Reznikovskaya,USSR,23,Semifinals Recital,Schuman,Chester: Variations for Piano,Preliminary,8th
Alexander Shtarkman,USSR,22,Semifinals Recital,Schuman,Chester: Variations for Piano,4th,8th
Boris Slutsky,United States,27,Semifinals Recital,Schuman,Chester: Variations for Piano,Preliminary,8th
Ju Hee Suh,Korea,21,Semifinals Recital,Schuman,Chester: Variations for Piano,Preliminary,8th
Hugh Tinney,Ireland,30,Semifinals Recital,Schuman,Chester: Variations for Piano,Preliminary,8th
Andrew Wilde,Great Britain,24,Semifinals Recital,Schuman,Chester: Variations for Piano,Preliminary,8th
Ying Tian,People's Republic of China,20,Semifinals Recital,Schuman,Chester: Variations for Piano,5th,8th
Elisso Bolkvadze,USSR,22,Semifinals Recital,Schuman,Chester: Variations for Piano,6th,8th
Alessandra Ammara,Italy,28,Semifinal Chamber Music,Schumann,Piano Quintet in E-flat Major Op.44,Semifinal,10th
Yuri Bogdanov,Russia,25,Preliminary Round,Schumann,Carnaval Op.9,Preliminary,10th
Michail Dantchenko,Ukraine,19,Semifinal Recital,Schumann,Carnaval Op.9,Semifinal,10th
Filippo Gamba,Italy,28,Preliminary Round,Schumann,Humoreske in B-flat Major Op.20,Finalist,10th
Jan Gottlieb Jiracek,Germany,24,Semifinal Chamber Music,Schumann,Piano Quintet in E-flat Major Op.44,Finalist,10th
Yakov Kasman,Russia,30,Semifinal Recital,Schumann,Allegro in B Minor Op.8,2nd,10th
Aleksandar Madžar,Yugoslavia,28,Semifinal Recital,Schumann,Fantasy in C Major Op.17,Semifinal,10th
Susumu Aoyagi,Japan,27,Semifinal Chamber Music,Schumann,Piano Quintet in E-flat Major Op.44,Preliminary,10th
Susumu Aoyagi,Japan,27,Final Round,Schumann,Piano Concerto in A Minor Op.54,Preliminary,10th
Olga Pushechnikova,Russia,22,Preliminary,Schumann,Carnaval Op.9,Preliminary,10th
Olga Pushechnikova,Russia,22,Semifinal Chamber,Schumann,Piano Quintet in E-flat major Op.44,Preliminary,10th
Aviram Reichert,Israel,25,Semifinal Chamber,Schumann,Piano Quintet in E-flat major Op.44,3rd,10th
Fernando Rossano,Italy,29,Semifinal Chamber,Schumann,Piano Quintet in E-flat major Op.44,Preliminary,10th
Christopher Shih,United States,24,Semifinal Chamber,Schumann,Piano Quintet in E-flat major Op.44,Preliminary,10th
Niklas Sivelöv,Sweden,29,Preliminary,Schumann,Sonata No.2 in G minor Op.22,Preliminary,10th
Niklas Sivelöv,Sweden,29,Semifinal Recital,Schumann,Kreisleriana Op.16,Preliminary,10th
Katia Skanavi,Russia,25,Preliminary,Schumann,"Variations on the name ""Abegg "" Op.1",Finalist,10th
Katia Skanavi,Russia,25,Semifinal Chamber,Schumann,Piano Quintet in E-flat major Op.44,Finalist,10th
Katia Skanavi,Russia,25,Semifinal Recital,Schumann,Kinderszenen Op.15,Finalist,10th
Alex Slobodyanik,Russia,22,Preliminary,Schumann,Kinderszenen Op.15,Preliminary,10th
Ju-Ying Song,United States,27,Semifinal Recital,Schumann,Waldszenen Op.82,Preliminary,10th
Dimitri Vassilakis,Greece,29,Semifinal Recital,Schumann,Toccata in C major Op.7,Preliminary,10th
Lev Vinocour,Russia,26,Semifinal Chamber,Schumann,Piano Quintet in E-flat major Op.44,Semifinal,10th
Lev Vinocour,Russia,26,Semifinal Recital,Schumann,Symphonic Etudes Op.13,Semifinal,10th
Peter Miyamoto,United States,27,Semifinal Chamber,Schumann,Piano Quintet in E-flat major Op.44,Preliminary,10th
Jon Nakamatsu,United States,28,Semifinal Recital,Schumann,Carnaval Op.9,1st,10th
Maurizio Baglini,Italy,26,Semifinal Recital,Schumann,Carnaval Op.9,Semifinal,11th
Dror Biran,Israel,24,Semifinal Chamber Music,Schumann,Piano Quintet in E-flat Major Op.44,Preliminary,11th
Stefania Cafaro,Italy,29,Semifinal Recital,Schumann,Davidsbündlertänze Op.6,Preliminary,11th
Yunjie Chen,China,20,Semifinal Recital,Schumann,Sonata No.1 in F-sharp Minor Op.11,Preliminary,11th
Yunjie Chen,China,20,Semifinal Chamber Music,Schumann,Piano Quintet in E-flat Major Op.44,Preliminary,11th
Davide Franceschetti,Italy,24,Preliminary Round,Schumann,Davidsbündlertänze Op.6,Semifinal,11th
Davide Franceschetti,Italy,24,Semifinal Chamber,Schumann,Piano Quintet in E-flat Major Op.44,Semifinal,11th
Amir Katz,Israel,28,Preliminary Round,Schumann,Kreisleriana Op.16,Preliminary,11th
Amir Katz,Israel,28,Final Round,Schumann,Piano Concerto in A Minor Op.54,Preliminary,11th
Olga Kern,Russia,26,Chamber Music,Schumann,Piano Quintet in E-flat Major Op.44,1st,11th
Sergey Koudriakov,Russia,23,Semifinal Recital,Schumann,Symphonic Etudes Op.13,Semifinal,11th
Maxim Manioukov,Russia,22,Semifinal Recital,Schumann,Toccata in C Major Op.7,Preliminary,11th
Oxana Mikhailoff,Russia,29,Preliminary Round,Schumann,Arabesque in C Major Op.18,Preliminary,11th
Oxana Mikhailoff,Russia,29,Chamber Music,Schumann,Piano Quintet in E-flat Major Op.44,Preliminary,11th
Masaru Okada,Japan,26,Chamber Music,Schumann,Piano Quintet in E-flat Major Op.44,Semifinal,11th
Antonio Pompa-Baldi,Italy,26,Chamber Music,Schumann,Piano Quintet in E-flat Major Op.44,2nd,11th
Maxim Philippov,Russia,29,Preliminary Round,Schumann,Fantasiestücke Op.12,2nd,11th
Elizabeth Schumann,United States,19,Preliminary Round,Schumann,Kinderszenen Op.15,Preliminary,11th
Edna Stern,Belgium,24,Semifinal Recital,Schumann,Fantasy in C Major Op.17,Preliminary,11th
Edna Stern,Belgium,24,Chamber Music,Schumann,Piano Quintet in E-flat Major Op.44,Preliminary,11th
Roger Wright,United States,27,Preliminary Round,Schumann,Blumenstück Op.19,Preliminary,11th
Roger Wright,United States,27,Semifinal Recital,Schumann,Kinderszenen Op.15,Preliminary,11th
Stephen Beus,United States,23,Final Recital,Schumann,Arabesque in C Major Op.18,Preliminary,11th
Sodi Braide,Nigeria/United Kingdom,29,Semifinal Recital,Schumann,Kreisleriana Op.16,Preliminary,11th
Davide Franceschetti,Italy,28,Preliminary Recital,Schumann,Fantasy in C Major Op.17,Preliminary,11th
Mariya Kim,Ukraine,23,Semifinal Chamber,Schumann,Piano Quintet in E-flat Major Op.44,Preliminary,11th
Marina Kolomiytseva,Russia,25,Semifinal Chamber,Schumann,Piano Quintet in E-flat Major Op.44,Preliminary,11th
Lilian Akopova,Ukraine,21,Final Recital,Schumann,Novelette No.1 in F Major Op.21,Preliminary,11th
Gabriela Martinez,Venezuela,21,Semifinal,Schumann,Sonata No.2 in G minor Op.22,Semifinal,12th
Maria Mazo,Russia/Germany,22,Semifinal Chamber,Schumann,Piano Quintet in E-flat major Op.44,Semifinal,12th
Alexandre Moutouzkine,Russia,24,Semifinal Chamber,Schumann,Piano Quintet in E-flat major Op.44,Preliminary,12th
Esther Park,United States,20,Semifinal Chamber,Schumann,Piano Quintet in E-flat major Op.44,Preliminary,12th
Daria Rabotkina,Russia,24,Semifinal Chamber,Schumann,Piano Quintet in E-flat major Op.44,Preliminary,12th
Daria Rabotkina,Russia,24,Final Recital,Schumann,Symphonic Etudes Op.13,Preliminary,12th
Ilya Rashkovskiy,Russia,20,Final Recital,Schumann,Symphonic Etudes Op.13,Preliminary,12th
Rui Shi,China,21,Semifinal Chamber,Schumann,Piano Quintet in E-flat major Op.44,Preliminary,12th
Rui Shi,China,21,Final Recital,Schumann,Fantasy in C major Op.17,Preliminary,12th
Wang Xiaohan,China,24,Semifinal Chamber,Schumann,Piano Quintet in E-flat major Op.44,Semifinal,12th
Wang Xiaohan,China,24,Final Recital,Schumann,Kreisleriana Op.16,Semifinal,12th
Chenxin Xu,China,23,Preliminary Recital,Schumann,Carnaval Op.9,Preliminary,12th
Chenxin Xu,China,23,Semifinal Chamber,Schumann,Piano Quintet in E-flat major Op.44,Preliminary,12th
Andrius Žlabys,Lithuania,28,Semifinal Recital,Schumann,Arabesque in C major Op.18,Preliminary,12th
Ang Li,Canada,20,Semifinal,Schumann,Fantasy in C major Op.17,Preliminary,12th
Jie Chen,China,19,Preliminary Recital,Schumann,Sonata No.2 in G Minor Op.22,Semifinal,12th
Sa Chen,China,25,Semifinal Recital,Schumann,Carnaval Op.9,3rd,12th
Chu-Fang Huang,China,22,Semifinal Chamber,Schumann,Piano Quintet in E-flat Major Op.44,Finalist,12th
Alexander Kobrin,Russia,25,Semifinal Recital,Schumann,Symphonic Etudes Op.13,1st,12th
Evgeni Bozhanov,Bulgaria,25,Final Recital,Schumann,Davidsbündlertänze Op.6,Finalist,13th
Alessandro Deljavan,Italy,22,Final Recital,Schumann,Fantasy in C Major Op.17,Semifinal,13th
Yoonjung Han,South Korea,24,Semifinal Chamber,Schumann,Piano Quintet in E-flat Major Op.44,Preliminary,13th
Yoonjung Han,South Korea,24,Final Recital,Schumann,Carnaval Op.9,Preliminary,13th
Kyu Yeon Kim,South Korea,23,Preliminary Recital,Schumann,Kreisleriana Op.16,Semifinal,13th
Naomi Kudo,United States/Japan,22,Semifinal Recital,Schumann,Carnaval Op.9,Preliminary,13th
Andrea Lam,Australia,27,Preliminary Recital,Schumann,Fantasiestücke Op.12,Semifinal,13th
Soyeon Lee,South Korea,29,Preliminary Recital,Schumann,Carnaval Op.9,Preliminary,13th
Soyeon Lee,South Korea,29,Semifinal Chamber,Schumann,Piano Quintet in E-flat Major Op.44,Preliminary,13th
Michail Lifits,Germany,26,Preliminary Recital,Schumann,Fantasy in C Major Op.17,Semifinal,13th
Michail Lifits,Germany,26,Semifinal Chamber,Schumann,Piano Quintet in E-flat Major Op.44,Semifinal,13th
Ilya Rashkovskiy,Russia,24,Semifinal Recital,Schumann,Symphonic Etudes Op.13,Preliminary,13th
Mayumi Sakamoto,Japan,26,Semifinal Recital,Schumann,Sonata No.3 in F Minor Op.14,Preliminary,13th
Mayumi Sakamoto,Japan,26,Semifinal Chamber,Schumann,Piano Quintet in E-flat Major Op.44,Preliminary,13th
Yeol Eum Son,South Korea,23,Preliminary Recital,Schumann,Fantasiestücke Op.12,2nd,13th
Nobuyuki Tsujii,Japan,20,Semifinal Chamber,Schumann,Piano Quintet in E-flat Major Op.44,1st,13th
Mariangela Vacatello,Italy,27,Semifinal Chamber,Schumann,Piano Quintet in E-flat Major Op.44,Finalist,13th
Di Wu,China,24,Semifinal Recital,Schumann,Davidsbündlertänze Op.6,Finalist,13th
Amy J. Yang,United States/China,25,Preliminary Recital,Schumann,Davidsbündlertänze Op.6,Preliminary,13th
Amy J. Yang,United States/China,25,Final Recital,Schumann,Arabesque in C Major Op.18,Preliminary,13th
Haochen Zhang,China,19,Semifinal Chamber,Schumann,Piano Quintet in E-flat Major Op.44,1st,13th
Ning Zhou,China,21,Semifinal Chamber,Schumann,Piano Quintet in E-flat Major Op.44,Preliminary,13th
Zhang Zuo,China,20,Preliminary Recital,Schumann,"Variations on the name ""Abegg "" Op.1",Preliminary,13th
Zhang Zuo,China,20,Semifinal Recital,Schumann,Symphonic Etudes Op.13,Preliminary,13th
Luca Buratto,Italy,20,Preliminary Recital 1,Schumann,Fantasy in C Major Op.17,Preliminary,14th
Luca Buratto,Italy,20,Preliminary Recital 2,Schumann,Novelette in D Major Op.21 No.2,Preliminary,14th
Luca Buratto,Italy,20,Preliminary Recital 2,Schumann,Novelette in F-sharp Minor Op.21 No.8,Preliminary,14th
Alexey Chernov,Russia,30,Semifinal Recital,Schumann,Symphonic Etudes Op.13,Semifinal,14th
Sara Daneshpour,United States,26,Preliminary Recital 1,Schumann,"Variations on the Name ""Abegg "" Op.1",Preliminary,14th
Sara Daneshpour,United States,26,Semifinal Chamber,Schumann,Piano Quintet in E-flat Major Op.44,Preliminary,14th
Alessandro Deljavan,Italy,26,Preliminary Recital 2,Schumann,Fantasy in C Major Op.17,Semifinal,14th
Fei-Fei Dong,China,22,Preliminary Recital 1,Schumann,Novelette in F-sharp Minor Op.21 No.8,Finalist,14th
Lindsay Garritson,United States,25,Semifinal Recital,Schumann,Sonata No.3 in F Minor Op.14,Preliminary,14th
Jayson Gillham,Australia-United Kingdom,26,Semifinal Chamber,Schumann,Piano Quintet in E-flat Major Op.44,Semifinal,14th
Giuseppe Greco,Italy,23,Semifinal Recital,Schumann,Fantasiestücke Op.12,Preliminary,14th
Giuseppe Greco,Italy,23,Semifinal Chamber,Schumann,Piano Quintet in E-flat Major Op.44,Preliminary,14th
Ruoyu Huang,China,24,Preliminary Recital 2,Schumann,Fantasy in C Major Op.17,Preliminary,14th
Ruoyu Huang,China,24,Semifinal Recital,Schumann,Davidsbündlertänze Op.6,Preliminary,14th
Claire Huangci,United States,23,Semifinal Recital,Schumann,Symphonic Etudes Op.13,Semifinal,14th
